'Day fraction since midnight on' 	'photometer (mg/L)'	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.592025504	2.809767723	113865.2813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59203708	2.813172817	113865.2813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592048646	2.803759098	113871.3047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592060222	2.806823254	113871.3047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592071793	2.801041603	113871.3047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592083369	2.804086447	113871.3047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592094956	2.801443815	113871.3047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592106513	2.803859949	113830.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592118093	2.797969818	113830.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592129667	2.799356699	113830.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592141237	2.794398069	113830.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592152812	2.799257755	113830.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592164395	2.795412779	113865.7188	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592175962	2.79722929	113865.7188	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592187533	2.790719986	113865.7188	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.5921991	2.793698072	113865.7188	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592210684	2.789506435	113865.7188	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592222245	2.793614149	113838.7813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592233827	2.788713217	113838.7813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592245403	2.792165279	113838.7813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592256978	2.785480738	113838.7813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592268547	2.785554886	113838.7813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592280122	2.780177355	113830.9844	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592291702	2.784930229	113830.9844	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592303275	2.781482697	113830.9844	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
