Day fraction since midnight on 	photometer (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.487470867	2.661209583	113483.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487482429	2.661401033	113483.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487494012	2.661542416	113483.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487505583	2.661632776	113483.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487517149	2.661851883	113483.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487528742	2.662042379	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487540318	2.662322998	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487551884	2.66262722	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487563443	2.663091183	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487575018	2.663317919	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487586611	2.66360116	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487598172	2.663874865	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487609751	2.664969683	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487621324	2.666708946	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48763289	2.668552637	113488.3672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487644461	2.669790506	113500.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487656034	2.673212051	113500.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487667616	2.675955057	113500.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487679188	2.679469109	113500.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
